name,price,status,shipping,free_returns,items_sold
Victrola Brighton Record Player Turntable Classic Vinyl Bluetooth 3-Speed RCAout,$48.99,New (Other),0,True,
Pro-Ject Power Box S3 Phono Turntable & Preamp Power Filter (Black) - Brand NEW,$199.99,Brand New,17.99,False,6
Audio-Technica AT-SB727-WH Sound Burger Portable Bluetooth Turntable White [NEW],$155.00,Brand New,12.66,False,
"Electrohome Vinyl Record Player Belt-Drive Turntable, Built-in Preamp, Auto-Stop",$99.99,Brand New,0,False,
Retrolife HQ-KZ006 High-Tech Belt-Driven Turntable System Red New In Box,$109.49,Brand New,10.33,False,
Jensen JTA-230 3-Speed Stereo Turntable Record Player Built-In Speakers & USB,$49.99,Pre-Owned,0,True,
Sony PS-212 Direct Drive Turntable Bench Tested Working Missing Left Foot READ,$85.00,Pre-Owned,0,False,
GENUINE Audio-Technica AT-VM95E Cartridge with TECHNICS style Black Headshell,$59.99,Brand New,0,True,27
Record Player Vintage 3-Speed Bluetooth Vinyl Turntable Belt Driven Suitcase,$45.99,Brand New,0,False,332
"Vinyl Record Cleaning Kit 9-in-1 – Anti-Static Cleaner, Velvet & Carbon Fiber Br",$30.95,Brand New,0,False,149
4.75″ Mini Turntable Display 360 Degree Rotating – Black,$9.98,Brand New,5.5024,True,70
Now Playing Light Up Vinyl Record Stand Wooden LED Display Holder Warm White,$33.99,Brand New,0,False,
"Mini Pottery Wheel Machine for Adults & Beginners, 2 Turntables 3.94"" & 2.56""...",$55.60,Brand New,0,False,
"NantFun Mini Pottery Wheel Machine, 6.5cm 10cm Double Turntables Detachable B...",$54.22,Brand New,0,False,
"NantFun Mini Pottery Wheel Machine, 6.5cm 10cm Double Turntables Detachable B...",$54.22,Brand New,0,False,
"Victrola Nostalgic Aviator Wood 8-in-1 Bluetooth Turntable Entertainment Center,",$75.00,Open Box,0,True,6
"GRIMM'S AUDIO TECHNICA AT-VM95C, E, EN, ML,SH & SP CARTRIDGE BAERWALD PROTRACTOR",$30.00,Brand New,8.75,False,39
Sony PS-LX310BT Hi-Res Belt-Drive USB Turntable with Bluetooth Connectivity - Bl,$289.00,Pre-Owned,0,False,
vinyl record player vintage,$100.00,Pre-Owned,19.11,False,
Victrola WSQK Record Player,$97.99,Brand New,0,True,192
HIFI RIAA Phono Preamp for MM/MC Turntables Mini Record Player Stereo Preamp,$49.99,Brand New,0,True,163
Vangoa Black Turntable Record Player RP-02 with 2 Built-In Speakers,$60.00,Open Box,11.16,False,
"Rotating Display Stand — 360° Turntable, USB Powered, 3 Speeds, Plate Options 15",$85.74,Brand New,0,False,
"Jensen JTA-475 3-Speed Stereo Turntable with CD System, Cassette and AM/FM Stere",$146.99,Brand New,0,True,
"Fluance IB40 Turntable Isolation Base Anti-Vibration Wood Platform, Bubble Level",$149.98,Brand New,0,False,
"ANGELS HORN Vinyl Record Player, Bluetooth Turntable with Built in Speakers",$149.99,Open Box,0,True,
Dual CS 329 Fully Automatic Plug & Play Belt Drive Turntable,$297.80,Excellent - Refurbished,0,True,
Professional Drive Belts For Record Player Turntable 4 Pack,$11.99,Brand New,0,True,
RSD Exclusive Black Friday 2025 Wicked For Good Turntable Green,$89.00,Brand New,20.98,False,
Victrola Automatic Turntable,$154.69,Open Box,0,True,6
NEW SOL Turntable Motor by Schiit Audio Outboard AC Synchronous (400 available),$49.99,Brand New,11.0,False,
Eklectik Bluetooth GUITAR Record Player Vertical Turntable Stereo Speaker HI-FI,$269.99,Brand New,47.9924,True,
Vinyl Styl® VS-M-001 12 Inch Anti Static Cork Turntable Mat - Less Vibration - N,$17.99,Brand New,0,True,53
Technics SL-L25 Linear Drive Turntable (Powers On) audio technica 3003 cartridge,$49.99,Parts Only,32.99,False,
"Hudson Hi-Fi Vinyl Turntable Mats – 12"" Alignment & Strobe Testing Mats (Protrac",$18.95,Brand New,0,False,38
Turntable Cartridges Headshell Display Walnut + Acrylic -Four + Accessories Read,$48.00,Brand New,0,False,
Uimoso Record Player Stand 2 Tiers Wooden Turntable End Table 3 Cabinets Storage,$62.99,Brand New,0,True,50
Audio-Technica AT-LPGO-BT Full Automatic Wireless Bluetooth Belt-Drive Turntable,$169.95,Pre-Owned,0,True,
Boytone BT-28SPW Bluetooth Classic Style CD Player Turntable with AM/FM Radio,$148.00,Open Box,0,True,56
GENUINE Audio Technica AT3600L  cartridge DIAMOND Stylus Brand New  USA seller,$18.95,Brand New,0,True,367
Phono Turntable Preamp- Mini Electronic Audio Stereo Phonograph Preamplifier RCA,$17.99,Brand New,0,False,786
"Heavy Duty 360° Rotating Turntable for Photography - 12"" & 320lbs Capacity",$107.99,Brand New,0,True,
"Modern Vintage Turntable Record Player w/Built-in Speakers, 33 45 RPM Bluetooth",$99.97,Brand New,31.18,True,
Audio Technica AT-PL50 Full Auto Belt Drive Turntable new - no box or  manual,$120.00,Open Box,30.0,False,
Crosley Voyager Bluetooth Portable 3-Speed Turntable CR8017A-DU Beige Belt Drive,$69.30,Open Box,24.16,False,
Glinda Wicked For Good Crosley RSD Black Friday Cruiser Plus Pink NIB FAST SHIP,$180.00,Brand New,0,False,
"Belt Drive Turntable with Bluetooth Connectivity, Built-in Phono Pre-amp, USB Di",$182.01,Brand New,0,False,
